"","Subject","RT_Seconds","Condition","Response"
"1",783,1.101,"Incongruent",1
"2",783,1.604,"Incongruent",1
"3",783,1.248,"Incongruent",1
"4",783,0.66,"Incongruent",1
"5",783,0.882,"Incongruent",1
"6",783,0.89,"Incongruent",1
"7",783,0.569,"Incongruent",1
"8",783,2.744,"Incongruent",1
"9",783,0.806,"Incongruent",1
"10",783,0.874,"Incongruent",1
"11",783,0.689,"Incongruent",1
"12",783,0.907,"Incongruent",1
"13",783,0.861,"Incongruent",1
"14",783,1.351,"Incongruent",1
"15",783,0.858,"Incongruent",1
"16",783,0.529,"Incongruent",1
"17",783,0.61,"Incongruent",1
"18",783,0.51,"Incongruent",1
"19",783,0.571,"Incongruent",1
"20",783,0.506,"Incongruent",1
"21",783,0.492,"Incongruent",1
"22",783,1.083,"Incongruent",1
"23",783,0.689,"Incongruent",1
"24",783,0.764,"Incongruent",1
"25",783,0.758,"Incongruent",1
"26",783,0.864,"Incongruent",1
"27",783,0.739,"Incongruent",1
"28",783,0.603,"Incongruent",1
"29",783,0.585,"Incongruent",1
"30",783,0.673,"Incongruent",1
"31",783,0.724,"Incongruent",1
"32",783,1.062,"Incongruent",1
"33",783,0.472,"Incongruent",1
"34",783,0.703,"Incongruent",1
"35",783,0.64,"Incongruent",1
"36",783,0.513,"Incongruent",1
"37",783,0.828,"Incongruent",1
"38",783,1.717,"Incongruent",1
"39",783,0.72,"Incongruent",1
"40",783,0.654,"Incongruent",1
"41",783,0.792,"Incongruent",1
"42",783,1.061,"Incongruent",1
"43",783,0.683,"Incongruent",1
"44",783,0.556,"Incongruent",1
"45",783,0.616,"Incongruent",1
"46",783,0.523,"Incongruent",1
"47",783,1.206,"Incongruent",1
"48",783,0.695,"Incongruent",1
"49",783,1.501,"Congruent",1
"50",783,1.105,"Congruent",1
"51",783,0.63,"Congruent",1
"52",783,1.068,"Congruent",1
"53",783,0.718,"Congruent",1
"54",783,0.697,"Congruent",1
"55",783,0.553,"Congruent",1
"56",783,0.622,"Congruent",1
"57",783,0.775,"Congruent",1
"58",783,0.633,"Congruent",1
"59",783,0.629,"Congruent",1
"60",783,0.681,"Congruent",1
"61",783,0.53,"Congruent",1
"62",783,0.895,"Congruent",1
"63",783,0.637,"Congruent",1
"64",783,0.544,"Congruent",1
"65",783,0.655,"Congruent",1
"66",783,0.843,"Congruent",1
"67",783,0.674,"Congruent",1
"68",783,1.2107,"Congruent",0
"69",783,0.969,"Congruent",1
"70",783,0.691,"Congruent",1
"71",783,0.813,"Congruent",1
"72",783,0.693,"Congruent",1
"73",783,1.605,"Congruent",1
"74",783,1.359,"Congruent",1
"75",783,0.958,"Congruent",1
"76",783,0.381,"Congruent",1
"77",783,0.562,"Congruent",1
"78",783,0.793,"Congruent",1
"79",783,0.524,"Congruent",1
"80",783,0.475,"Congruent",1
"81",783,0.333,"Congruent",1
"82",783,0.631,"Congruent",1
"83",783,0.534,"Congruent",1
"84",783,0.752,"Congruent",1
"85",783,0.435,"Congruent",1
"86",783,0.543,"Congruent",1
"87",783,0.569,"Congruent",1
"88",783,0.384,"Congruent",1
"89",783,0.538,"Congruent",1
"90",783,0.506,"Congruent",1
"91",783,0.796,"Congruent",1
"92",783,0.812,"Congruent",1
"93",783,0.487,"Congruent",1
"94",783,0.613,"Congruent",1
"95",783,0.671,"Congruent",1
"96",783,0.608,"Congruent",1
"97",788,1.65,"Incongruent",1
"98",788,2.325,"Incongruent",1
"99",788,0.857,"Incongruent",1
"100",788,0.87,"Incongruent",1
"101",788,0.948,"Incongruent",1
"102",788,0.957,"Incongruent",1
"103",788,0.796,"Incongruent",1
"104",788,0.691,"Incongruent",1
"105",788,0.739,"Incongruent",1
"106",788,0.999,"Incongruent",1
"107",788,0.994,"Incongruent",1
"108",788,0.991,"Incongruent",1
"109",788,0.772,"Incongruent",1
"110",788,0.787,"Incongruent",1
"111",788,0.857,"Incongruent",1
"112",788,0.749,"Incongruent",1
"113",788,0.785,"Incongruent",1
"114",788,0.61,"Incongruent",1
"115",788,0.672,"Incongruent",1
"116",788,0.876,"Incongruent",1
"117",788,0.729,"Incongruent",1
"118",788,0.886,"Incongruent",1
"119",788,0.712,"Incongruent",1
"120",788,2.263,"Incongruent",1
"121",788,0.849,"Incongruent",1
"122",788,0.878,"Incongruent",1
"123",788,0.69,"Incongruent",1
"124",788,0.573,"Incongruent",1
"125",788,1.058,"Incongruent",1
"126",788,0.75,"Incongruent",1
"127",788,0.833,"Incongruent",1
"128",788,0.699,"Incongruent",1
"129",788,0.6,"Incongruent",1
"130",788,0.683,"Incongruent",1
"131",788,0.881,"Incongruent",1
"132",788,0.613,"Incongruent",1
"133",788,0.81,"Incongruent",1
"134",788,0.68,"Incongruent",1
"135",788,0.826,"Incongruent",1
"136",788,0.747,"Incongruent",1
"137",788,0.954,"Incongruent",1
"138",788,2.075,"Incongruent",1
"139",788,0.83,"Incongruent",1
"140",788,0.67,"Incongruent",1
"141",788,0.65,"Incongruent",1
"142",788,0.691,"Incongruent",1
"143",788,0.842,"Incongruent",1
"144",788,2.808,"Congruent",1
"145",788,1.748,"Congruent",1
"146",788,0.867,"Congruent",1
"147",788,0.91,"Congruent",1
"148",788,1.348,"Congruent",1
"149",788,0.795,"Congruent",1
"150",788,1.289,"Congruent",1
"151",788,1.995,"Congruent",1
"152",788,1.572,"Congruent",1
"153",788,1.157,"Congruent",1
"154",788,0.956,"Congruent",1
"155",788,1.056,"Congruent",1
"156",788,1.764,"Congruent",1
"157",788,0.961,"Congruent",1
"158",788,1.526,"Congruent",1
"159",788,1.854,"Congruent",1
"160",788,1.131,"Congruent",1
"161",788,1.179,"Congruent",1
"162",788,0.742,"Congruent",1
"163",788,1.08,"Congruent",1
"164",788,1.455,"Congruent",1
"165",788,0.814,"Congruent",1
"166",788,1.263,"Congruent",1
"167",788,1.229,"Congruent",1
"168",788,1.284,"Congruent",1
"169",788,2.47271,"Congruent",0
"170",788,1.179,"Congruent",1
"171",788,1.598,"Congruent",1
"172",788,0.8,"Congruent",1
"173",788,0.918,"Congruent",1
"174",788,0.747,"Congruent",1
"175",788,1.096,"Congruent",1
"176",788,0.787,"Congruent",1
"177",788,2.213,"Congruent",1
"178",788,0.631,"Congruent",1
"179",788,1.684,"Congruent",1
"180",788,0.892,"Congruent",1
"181",788,1.331,"Congruent",1
"182",788,1.15,"Congruent",1
"183",788,1.99,"Congruent",1
"184",788,0.605,"Congruent",1
"185",788,0.72,"Congruent",1
"186",788,0.875,"Congruent",1
"187",788,1.438,"Congruent",1
"188",788,0.892,"Congruent",1
"189",793,1.275,"Incongruent",1
"190",793,0.727,"Incongruent",1
"191",793,0.519,"Incongruent",1
"192",793,0.554,"Incongruent",1
"193",793,0.512,"Incongruent",1
"194",793,0.697,"Incongruent",1
"195",793,0.76,"Incongruent",1
"196",793,0.516,"Incongruent",1
"197",793,0.92,"Incongruent",1
"198",793,0.549,"Incongruent",1
"199",793,0.592,"Incongruent",1
"200",793,0.541,"Incongruent",1
"201",793,0.547,"Incongruent",1
"202",793,0.446,"Incongruent",1
"203",793,0.83,"Incongruent",1
"204",793,0.592,"Incongruent",1
"205",793,0.589,"Incongruent",1
"206",793,0.565,"Incongruent",1
"207",793,0.592,"Incongruent",1
"208",793,0.606,"Incongruent",1
"209",793,0.698,"Incongruent",1
"210",793,0.557,"Incongruent",1
"211",793,0.533,"Incongruent",1
"212",793,0.592,"Incongruent",1
"213",793,0.89,"Incongruent",1
"214",793,0.952,"Incongruent",1
"215",793,0.505,"Incongruent",1
"216",793,0.557,"Incongruent",1
"217",793,0.667,"Incongruent",1
"218",793,0.479,"Incongruent",1
"219",793,0.568,"Incongruent",1
"220",793,0.53,"Incongruent",1
"221",793,0.622,"Incongruent",1
"222",793,0.508,"Incongruent",1
"223",793,0.622,"Incongruent",1
"224",793,0.611,"Incongruent",1
"225",793,0.446,"Incongruent",1
"226",793,0.533,"Incongruent",1
"227",793,0.525,"Incongruent",1
"228",793,0.535,"Incongruent",1
"229",793,0.514,"Incongruent",1
"230",793,0.527,"Incongruent",1
"231",793,0.565,"Incongruent",1
"232",793,0.517,"Incongruent",1
"233",793,0.514,"Incongruent",1
"234",793,0.459,"Incongruent",1
"235",793,0.381,"Incongruent",1
"236",793,0.609,"Incongruent",1
"237",793,0.966,"Congruent",1
"238",793,0.557,"Congruent",1
"239",793,0.768,"Congruent",1
"240",793,0.56,"Congruent",1
"241",793,0.54,"Congruent",1
"242",793,0.746,"Congruent",1
"243",793,0.706,"Congruent",1
"244",793,0.657,"Congruent",1
"245",793,0.452,"Congruent",1
"246",793,0.587,"Congruent",1
"247",793,0.509,"Congruent",1
"248",793,0.649,"Congruent",1
"249",793,0.808,"Congruent",1
"250",793,0.573,"Congruent",1
"251",793,0.472,"Congruent",1
"252",793,0.373,"Congruent",1
"253",793,0.5,"Congruent",1
"254",793,0.643,"Congruent",1
"255",793,1.233,"Congruent",1
"256",793,0.501,"Congruent",1
"257",793,0.441,"Congruent",1
"258",793,0.449,"Congruent",1
"259",793,1.03198,"Congruent",0
"260",793,0.881,"Congruent",1
"261",793,0.76,"Congruent",1
"262",793,0.503,"Congruent",1
"263",793,0.398,"Congruent",1
"264",793,0.419,"Congruent",1
"265",793,0.636,"Congruent",1
"266",793,0.56,"Congruent",1
"267",793,0.515,"Congruent",1
"268",793,0.473,"Congruent",1
"269",793,0.682,"Congruent",1
"270",793,0.544,"Congruent",1
"271",793,0.543,"Congruent",1
"272",793,0.533,"Congruent",1
"273",793,0.449,"Congruent",1
"274",793,0.47,"Congruent",1
"275",793,0.384,"Congruent",1
"276",793,0.71552,"Congruent",0
"277",793,0.538,"Congruent",1
"278",793,0.443,"Congruent",1
"279",793,0.436,"Congruent",1
"280",793,0.503,"Congruent",1
"281",793,0.57,"Congruent",1
"282",793,0.676,"Congruent",1
"283",793,0.492,"Congruent",1
"284",793,0.376,"Congruent",1
"285",798,1.832,"Incongruent",1
"286",798,0.784,"Incongruent",1
"287",798,0.662,"Incongruent",1
"288",798,0.709,"Incongruent",1
"289",798,0.885,"Incongruent",1
"290",798,0.698,"Incongruent",1
"291",798,0.817,"Incongruent",1
"292",798,0.66,"Incongruent",1
"293",798,0.898,"Incongruent",1
"294",798,0.69,"Incongruent",1
"295",798,0.777,"Incongruent",1
"296",798,1.135,"Incongruent",1
"297",798,0.742,"Incongruent",1
"298",798,0.633,"Incongruent",1
"299",798,0.616,"Incongruent",1
"300",798,0.633,"Incongruent",1
"301",798,0.766,"Incongruent",1
"302",798,0.762,"Incongruent",1
"303",798,0.54,"Incongruent",1
"304",798,0.728,"Incongruent",1
"305",798,0.746,"Incongruent",1
"306",798,0.924,"Incongruent",1
"307",798,0.793,"Incongruent",1
"308",798,1.31498,"Incongruent",0
"309",798,1.011,"Incongruent",1
"310",798,0.683,"Incongruent",1
"311",798,0.959,"Incongruent",1
"312",798,0.586,"Incongruent",1
"313",798,0.843,"Incongruent",1
"314",798,0.626,"Incongruent",1
"315",798,0.674,"Incongruent",1
"316",798,0.802,"Incongruent",1
"317",798,0.561,"Incongruent",1
"318",798,0.658,"Incongruent",1
"319",798,0.663,"Incongruent",1
"320",798,1.08,"Incongruent",1
"321",798,0.628,"Incongruent",1
"322",798,1.006,"Incongruent",1
"323",798,0.816,"Incongruent",1
"324",798,0.623,"Incongruent",1
"325",798,0.578,"Incongruent",1
"326",798,0.575,"Incongruent",1
"327",798,0.811,"Incongruent",1
"328",798,0.643,"Incongruent",1
"329",798,0.698,"Incongruent",1
"330",798,1.28,"Incongruent",1
"331",798,0.789,"Incongruent",1
"332",798,0.661,"Incongruent",1
"333",798,2.284,"Congruent",1
"334",798,1.434,"Congruent",1
"335",798,0.821,"Congruent",1
"336",798,1.488,"Congruent",1
"337",798,0.855,"Congruent",1
"338",798,0.916,"Congruent",1
"339",798,0.943,"Congruent",1
"340",798,0.984,"Congruent",1
"341",798,0.822,"Congruent",1
"342",798,0.652,"Congruent",1
"343",798,0.629,"Congruent",1
"344",798,0.634,"Congruent",1
"345",798,0.714,"Congruent",1
"346",798,0.776,"Congruent",1
"347",798,1.01,"Congruent",1
"348",798,0.728,"Congruent",1
"349",798,0.884,"Congruent",1
"350",798,0.621,"Congruent",1
"351",798,1.788,"Congruent",1
"352",798,0.728,"Congruent",1
"353",798,0.709,"Congruent",1
"354",798,0.685,"Congruent",1
"355",798,0.693,"Congruent",1
"356",798,0.583,"Congruent",1
"357",798,1.219,"Congruent",1
"358",798,0.825,"Congruent",1
"359",798,1.235,"Congruent",1
"360",798,0.639,"Congruent",1
"361",798,0.663,"Congruent",1
"362",798,0.693,"Congruent",1
"363",798,0.596,"Congruent",1
"364",798,0.758,"Congruent",1
"365",798,1.428,"Congruent",1
"366",798,0.519,"Congruent",1
"367",798,0.491,"Congruent",1
"368",798,0.719,"Congruent",1
"369",798,0.697,"Congruent",1
"370",798,0.695,"Congruent",1
"371",798,0.677,"Congruent",1
"372",798,1.467,"Congruent",1
"373",798,0.746,"Congruent",1
"374",798,1.691,"Congruent",1
"375",798,0.637,"Congruent",1
"376",798,0.731,"Congruent",1
"377",798,0.924,"Congruent",1
"378",798,0.723,"Congruent",1
"379",798,0.795,"Congruent",1
"380",798,1.371,"Congruent",1
"381",802,1.073,"Incongruent",1
"382",802,1.339,"Incongruent",1
"383",802,0.777,"Incongruent",1
"384",802,1.943,"Incongruent",1
"385",802,0.838,"Incongruent",1
"386",802,0.825,"Incongruent",1
"387",802,0.649,"Incongruent",1
"388",802,0.944,"Incongruent",1
"389",802,0.933,"Incongruent",1
"390",802,1.092,"Incongruent",1
"391",802,1.092,"Incongruent",1
"392",802,0.617,"Incongruent",1
"393",802,0.606,"Incongruent",1
"394",802,0.781,"Incongruent",1
"395",802,1.107,"Incongruent",1
"396",802,0.683,"Incongruent",1
"397",802,0.758,"Incongruent",1
"398",802,0.528,"Incongruent",1
"399",802,1.88881,"Incongruent",0
"400",802,2.308,"Incongruent",1
"401",802,0.698,"Incongruent",1
"402",802,0.749,"Incongruent",1
"403",802,1.88881,"Incongruent",0
"404",802,1.563,"Incongruent",1
"405",802,1.397,"Incongruent",1
"406",802,0.865,"Incongruent",1
"407",802,1.038,"Incongruent",1
"408",802,0.631,"Incongruent",1
"409",802,0.817,"Incongruent",1
"410",802,0.687,"Incongruent",1
"411",802,0.989,"Incongruent",1
"412",802,0.727,"Incongruent",1
"413",802,0.739,"Incongruent",1
"414",802,0.642,"Incongruent",1
"415",802,0.61,"Incongruent",1
"416",802,1.42558,"Incongruent",0
"417",802,0.922,"Incongruent",1
"418",802,1.054,"Incongruent",1
"419",802,0.633,"Incongruent",1
"420",802,0.811,"Incongruent",1
"421",802,0.536,"Incongruent",1
"422",802,0.72,"Incongruent",1
"423",802,0.744,"Incongruent",1
"424",802,0.754,"Incongruent",1
"425",802,1.861,"Incongruent",1
"426",802,0.568,"Incongruent",1
"427",802,0.636,"Incongruent",1
"428",802,0.622,"Incongruent",1
"429",802,1.329,"Congruent",1
"430",802,0.609,"Congruent",1
"431",802,1.107,"Congruent",1
"432",802,0.636,"Congruent",1
"433",802,0.693,"Congruent",1
"434",802,0.505,"Congruent",1
"435",802,0.863,"Congruent",1
"436",802,0.526,"Congruent",1
"437",802,0.517,"Congruent",1
"438",802,0.639,"Congruent",1
"439",802,0.63,"Congruent",1
"440",802,1.162,"Congruent",1
"441",802,0.607,"Congruent",1
"442",802,0.649,"Congruent",1
"443",802,0.617,"Congruent",1
"444",802,0.598,"Congruent",1
"445",802,0.48,"Congruent",1
"446",802,0.603,"Congruent",1
"447",802,0.561,"Congruent",1
"448",802,0.542,"Congruent",1
"449",802,0.741,"Congruent",1
"450",802,0.626,"Congruent",1
"451",802,0.741,"Congruent",1
