"X","ID","RT_Seconds","CI","Accuracy","R","S","Stimulus_type","Age","Race_partic","Handedness","condition","S_numeric","R_numeric","CI_numeric"
1,783,1.101,"non-congruent",1,"left","left","black_face",21,"white","right","face",1,1,1
2,783,1.604,"non-congruent",1,"right","right","white_face",21,"white","right","face",0,0,1
3,783,1.248,"non-congruent",1,"right","right","bad_word",21,"white","right","word",0,0,1
4,783,0.66,"non-congruent",1,"right","right","bad_word",21,"white","right","word",0,0,1
5,783,0.882,"non-congruent",1,"left","left","good_word",21,"white","right","word",1,1,1
6,783,0.89,"non-congruent",1,"left","left","good_word",21,"white","right","word",1,1,1
7,783,0.569,"non-congruent",1,"right","right","bad_word",21,"white","right","word",0,0,1
8,783,2.744,"non-congruent",1,"right","right","white_face",21,"white","right","face",0,0,1
9,783,0.806,"non-congruent",1,"right","right","bad_word",21,"white","right","word",0,0,1
10,783,0.874,"non-congruent",1,"right","right","bad_word",21,"white","right","word",0,0,1
11,783,0.689,"non-congruent",1,"right","right","white_face",21,"white","right","face",0,0,1
12,783,0.907,"non-congruent",1,"left","left","good_word",21,"white","right","word",1,1,1
13,783,0.861,"non-congruent",1,"left","left","good_word",21,"white","right","word",1,1,1
14,783,1.351,"non-congruent",1,"left","left","good_word",21,"white","right","word",1,1,1
15,783,0.858,"non-congruent",1,"right","right","white_face",21,"white","right","face",0,0,1
16,783,0.529,"non-congruent",1,"left","left","black_face",21,"white","right","face",1,1,1
17,783,0.61,"non-congruent",1,"left","left","black_face",21,"white","right","face",1,1,1
18,783,0.51,"non-congruent",1,"right","right","white_face",21,"white","right","face",0,0,1
19,783,0.571,"non-congruent",1,"left","left","black_face",21,"white","right","face",1,1,1
20,783,0.506,"non-congruent",1,"left","left","black_face",21,"white","right","face",1,1,1
21,783,0.492,"non-congruent",1,"left","left","black_face",21,"white","right","face",1,1,1
22,783,1.083,"non-congruent",1,"left","left","good_word",21,"white","right","word",1,1,1
23,783,0.689,"non-congruent",1,"right","right","bad_word",21,"white","right","word",0,0,1
24,783,0.764,"non-congruent",1,"right","right","white_face",21,"white","right","face",0,0,1
25,783,0.758,"non-congruent",1,"left","left","black_face",21,"white","right","face",1,1,1
26,783,0.864,"non-congruent",1,"left","left","good_word",21,"white","right","word",1,1,1
27,783,0.739,"non-congruent",1,"right","right","bad_word",21,"white","right","word",0,0,1
28,783,0.603,"non-congruent",1,"right","right","white_face",21,"white","right","face",0,0,1
29,783,0.585,"non-congruent",1,"right","right","white_face",21,"white","right","face",0,0,1
30,783,0.673,"non-congruent",1,"left","left","black_face",21,"white","right","face",1,1,1
31,783,0.724,"non-congruent",1,"left","left","good_word",21,"white","right","word",1,1,1
32,783,1.062,"non-congruent",1,"right","right","white_face",21,"white","right","face",0,0,1
33,783,0.472,"non-congruent",1,"right","right","white_face",21,"white","right","face",0,0,1
34,783,0.703,"non-congruent",1,"left","left","good_word",21,"white","right","word",1,1,1
35,783,0.64,"non-congruent",1,"right","right","bad_word",21,"white","right","word",0,0,1
36,783,0.513,"non-congruent",1,"left","left","black_face",21,"white","right","face",1,1,1
37,783,0.828,"non-congruent",1,"right","right","bad_word",21,"white","right","word",0,0,1
38,783,1.717,"non-congruent",1,"right","right","white_face",21,"white","right","face",0,0,1
39,783,0.72,"non-congruent",1,"left","left","black_face",21,"white","right","face",1,1,1
40,783,0.654,"non-congruent",1,"right","right","bad_word",21,"white","right","word",0,0,1
41,783,0.792,"non-congruent",1,"left","left","black_face",21,"white","right","face",1,1,1
42,783,1.061,"non-congruent",1,"left","left","good_word",21,"white","right","word",1,1,1
43,783,0.683,"non-congruent",1,"right","right","bad_word",21,"white","right","word",0,0,1
44,783,0.556,"non-congruent",1,"left","left","good_word",21,"white","right","word",1,1,1
45,783,0.616,"non-congruent",1,"left","left","black_face",21,"white","right","face",1,1,1
46,783,0.523,"non-congruent",1,"right","right","white_face",21,"white","right","face",0,0,1
47,783,1.206,"non-congruent",1,"left","left","good_word",21,"white","right","word",1,1,1
48,783,0.695,"non-congruent",1,"right","right","bad_word",21,"white","right","word",0,0,1
49,783,1.501,"congruent",1,"left","left","white_face",21,"white","right","face",1,1,0
50,783,1.105,"congruent",1,"right","right","black_face",21,"white","right","face",0,0,0
51,783,0.63,"congruent",1,"left","left","good_word",21,"white","right","word",1,1,0
52,783,1.068,"congruent",1,"right","right","black_face",21,"white","right","face",0,0,0
53,783,0.718,"congruent",1,"left","left","white_face",21,"white","right","face",1,1,0
54,783,0.697,"congruent",1,"left","left","white_face",21,"white","right","face",1,1,0
55,783,0.553,"congruent",1,"left","left","white_face",21,"white","right","face",1,1,0
56,783,0.622,"congruent",1,"right","right","bad_word",21,"white","right","word",0,0,0
57,783,0.775,"congruent",1,"right","right","black_face",21,"white","right","face",0,0,0
58,783,0.633,"congruent",1,"right","right","black_face",21,"white","right","face",0,0,0
59,783,0.629,"congruent",1,"left","left","good_word",21,"white","right","word",1,1,0
60,783,0.681,"congruent",1,"left","left","good_word",21,"white","right","word",1,1,0
61,783,0.53,"congruent",1,"left","left","good_word",21,"white","right","word",1,1,0
62,783,0.895,"congruent",1,"left","left","good_word",21,"white","right","word",1,1,0
63,783,0.637,"congruent",1,"right","right","bad_word",21,"white","right","word",0,0,0
64,783,0.544,"congruent",1,"left","left","white_face",21,"white","right","face",1,1,0
65,783,0.655,"congruent",1,"left","left","good_word",21,"white","right","word",1,1,0
66,783,0.843,"congruent",1,"right","right","bad_word",21,"white","right","word",0,0,0
67,783,0.674,"congruent",1,"left","left","white_face",21,"white","right","face",1,1,0
68,783,1.2107,"congruent",0,"left","right","bad_word",21,"white","right","word",0,1,0
69,783,0.969,"congruent",1,"right","right","bad_word",21,"white","right","word",0,0,0
70,783,0.691,"congruent",1,"right","right","bad_word",21,"white","right","word",0,0,0
71,783,0.813,"congruent",1,"right","right","black_face",21,"white","right","face",0,0,0
72,783,0.693,"congruent",1,"right","right","black_face",21,"white","right","face",0,0,0
73,783,1.605,"congruent",1,"left","left","white_face",21,"white","right","face",1,1,0
74,783,1.359,"congruent",1,"left","left","good_word",21,"white","right","word",1,1,0
75,783,0.958,"congruent",1,"left","left","white_face",21,"white","right","face",1,1,0
76,783,0.381,"congruent",1,"right","right","black_face",21,"white","right","face",0,0,0
77,783,0.562,"congruent",1,"left","left","white_face",21,"white","right","face",1,1,0
78,783,0.793,"congruent",1,"left","left","white_face",21,"white","right","face",1,1,0
79,783,0.524,"congruent",1,"left","left","good_word",21,"white","right","word",1,1,0
80,783,0.475,"congruent",1,"left","left","good_word",21,"white","right","word",1,1,0
81,783,0.333,"congruent",1,"right","right","black_face",21,"white","right","face",0,0,0
82,783,0.631,"congruent",1,"left","left","white_face",21,"white","right","face",1,1,0
83,783,0.534,"congruent",1,"left","left","white_face",21,"white","right","face",1,1,0
84,783,0.752,"congruent",1,"right","right","bad_word",21,"white","right","word",0,0,0
85,783,0.435,"congruent",1,"right","right","bad_word",21,"white","right","word",0,0,0
86,783,0.543,"congruent",1,"right","right","black_face",21,"white","right","face",0,0,0
87,783,0.569,"congruent",1,"right","right","bad_word",21,"white","right","word",0,0,0
