"","subj","ID","itemN","rt","Task","TrialType","CongruentIncongruent","error"
"41",1,1,4,559.22,"flankers","IncongruentRight","Incongruent",0
"43",1,1,1,396.01,"flankers","CongruentRight","Congruent",0
"44",1,1,1,359.43,"flankers","CongruentRight","Congruent",0
"45",1,1,2,338.8,"flankers","CongruentLeft","Congruent",0
"46",1,1,2,403.53,"flankers","CongruentLeft","Congruent",0
"47",1,1,2,369.64,"flankers","CongruentLeft","Congruent",0
"48",1,1,1,357.07,"flankers","CongruentRight","Congruent",0
"49",1,1,2,320.46,"flankers","CongruentLeft","Congruent",0
"50",1,1,3,-329.28,"flankers","IncongruentLeft","Incongruent",1
"51",1,1,2,367.69,"flankers","CongruentLeft","Congruent",0
"52",1,1,1,349.73,"flankers","CongruentRight","Congruent",0
"53",1,1,2,398.49,"flankers","CongruentLeft","Congruent",0
"54",1,1,2,337.87,"flankers","CongruentLeft","Congruent",0
"57",1,1,3,394.05,"flankers","IncongruentLeft","Incongruent",0
"58",1,1,1,357.41,"flankers","CongruentRight","Congruent",0
"59",1,1,1,408.78,"flankers","CongruentRight","Congruent",0
"60",1,1,2,374.82,"flankers","CongruentLeft","Congruent",0
"61",1,1,1,383.57,"flankers","CongruentRight","Congruent",0
"63",1,1,2,476.14,"flankers","CongruentLeft","Congruent",0
"64",1,1,1,335.55,"flankers","CongruentRight","Congruent",0
"66",1,1,2,380.01,"flankers","CongruentLeft","Congruent",0
"68",1,1,3,-411.12,"flankers","IncongruentLeft","Incongruent",1
"70",1,1,2,346.56,"flankers","CongruentLeft","Congruent",0
"72",1,1,1,361.72,"flankers","CongruentRight","Congruent",0
"74",1,1,3,-318.11,"flankers","IncongruentLeft","Incongruent",1
"75",1,1,1,439.22,"flankers","CongruentRight","Congruent",0
"76",1,1,4,-440.07,"flankers","IncongruentRight","Incongruent",1
"77",1,1,1,387.9,"flankers","CongruentRight","Congruent",0
"78",1,1,2,426.05,"flankers","CongruentLeft","Congruent",0
"79",1,1,1,394.81,"flankers","CongruentRight","Congruent",0
"80",1,1,2,406.21,"flankers","CongruentLeft","Congruent",0
"81",1,1,2,484.3,"flankers","CongruentLeft","Congruent",0
"82",1,1,4,426.35,"flankers","IncongruentRight","Incongruent",0
"83",1,1,3,-355.12,"flankers","IncongruentLeft","Incongruent",1
"84",1,1,1,390.89,"flankers","CongruentRight","Congruent",0
"86",1,1,1,355.32,"flankers","CongruentRight","Congruent",0
"87",1,1,1,398.72,"flankers","CongruentRight","Congruent",0
"88",1,1,3,655.52,"flankers","IncongruentLeft","Incongruent",0
"89",1,1,2,347.43,"flankers","CongruentLeft","Congruent",0
"90",1,1,2,374.87,"flankers","CongruentLeft","Congruent",0
"91",1,1,4,447.54,"flankers","IncongruentRight","Incongruent",0
"92",1,1,4,525.68,"flankers","IncongruentRight","Incongruent",0
"93",1,1,1,385.44,"flankers","CongruentRight","Congruent",0
"94",1,1,1,386.18,"flankers","CongruentRight","Congruent",0
"96",1,1,1,401.23,"flankers","CongruentRight","Congruent",0
"97",1,1,1,404.64,"flankers","CongruentRight","Congruent",0
"99",1,1,2,403.7,"flankers","CongruentLeft","Congruent",0
"100",1,1,1,449.8,"flankers","CongruentRight","Congruent",0
"102",1,1,1,384.88,"flankers","CongruentRight","Congruent",0
"104",1,1,2,402.53,"flankers","CongruentLeft","Congruent",0
"105",1,1,2,350.02,"flankers","CongruentLeft","Congruent",0
"106",1,1,3,489.41,"flankers","IncongruentLeft","Incongruent",0
"107",1,1,1,388.98,"flankers","CongruentRight","Congruent",0
"108",1,1,2,400.4,"flankers","CongruentLeft","Congruent",0
"109",1,1,2,459.83,"flankers","CongruentLeft","Congruent",0
"112",1,1,3,499.79,"flankers","IncongruentLeft","Incongruent",0
"113",1,1,1,388.54,"flankers","CongruentRight","Congruent",0
"115",1,1,3,542.26,"flankers","IncongruentLeft","Incongruent",0
"116",1,1,2,386.13,"flankers","CongruentLeft","Congruent",0
"117",1,1,1,408.2,"flankers","CongruentRight","Congruent",0
"118",1,1,2,323.71,"flankers","CongruentLeft","Congruent",0
"119",1,1,2,449.79,"flankers","CongruentLeft","Congruent",0
"121",1,1,4,526.29,"flankers","IncongruentRight","Incongruent",0
"122",1,1,1,375.42,"flankers","CongruentRight","Congruent",0
"123",1,1,2,336.19,"flankers","CongruentLeft","Congruent",0
"124",1,1,1,382.35,"flankers","CongruentRight","Congruent",0
"126",1,1,1,394.82,"flankers","CongruentRight","Congruent",0
"127",1,1,4,643.61,"flankers","IncongruentRight","Incongruent",0
"128",1,1,1,383.47,"flankers","CongruentRight","Congruent",0
"129",1,1,2,-480.13,"flankers","CongruentLeft","Congruent",1
"130",1,1,2,425.14,"flankers","CongruentLeft","Congruent",0
"131",1,1,2,459.8,"flankers","CongruentLeft","Congruent",0
"132",1,1,2,388.51,"flankers","CongruentLeft","Congruent",0
"133",1,1,1,389.28,"flankers","CongruentRight","Congruent",0
"135",1,1,1,367.06,"flankers","CongruentRight","Congruent",0
"136",1,1,1,357.2,"flankers","CongruentRight","Congruent",0
"138",1,1,2,422.9,"flankers","CongruentLeft","Congruent",0
"139",1,1,2,415.72,"flankers","CongruentLeft","Congruent",0
"140",1,1,1,456.39,"flankers","CongruentRight","Congruent",0
"142",1,1,1,338.21,"flankers","CongruentRight","Congruent",0
"144",1,1,1,364.33,"flankers","CongruentRight","Congruent",0
"145",1,1,1,351.77,"flankers","CongruentRight","Congruent",0
"146",1,1,4,-347.13,"flankers","IncongruentRight","Incongruent",1
"147",1,1,1,366.88,"flankers","CongruentRight","Congruent",0
"149",1,1,1,387.31,"flankers","CongruentRight","Congruent",0
"150",1,1,2,355.99,"flankers","CongruentLeft","Congruent",0
"151",1,1,1,348.8,"flankers","CongruentRight","Congruent",0
"152",1,1,2,314.89,"flankers","CongruentLeft","Congruent",0
"153",1,1,2,542.25,"flankers","CongruentLeft","Congruent",0
"154",1,1,2,404.79,"flankers","CongruentLeft","Congruent",0
"155",1,1,1,288.22,"flankers","CongruentRight","Congruent",0
"156",1,1,2,358.25,"flankers","CongruentLeft","Congruent",0
"157",1,1,2,353.61,"flankers","CongruentLeft","Congruent",0
"159",1,1,1,339.06,"flankers","CongruentRight","Congruent",0
"161",1,1,1,335.53,"flankers","CongruentRight","Congruent",0
"162",1,1,2,360.29,"flankers","CongruentLeft","Congruent",0
"163",1,1,2,379.69,"flankers","CongruentLeft","Congruent",0
"164",1,1,4,316.47,"flankers","IncongruentRight","Incongruent",0
"165",1,1,1,-373.25,"flankers","CongruentRight","Congruent",1
"166",1,1,1,371.71,"flankers","CongruentRight","Congruent",0
"167",1,1,2,345.74,"flankers","CongruentLeft","Congruent",0
"168",1,1,3,-578.45,"flankers","IncongruentLeft","Incongruent",1
"169",1,1,4,392.91,"flankers","IncongruentRight","Incongruent",0
"171",1,1,3,512.3,"flankers","IncongruentLeft","Incongruent",0
"175",1,1,1,351.2,"flankers","CongruentRight","Congruent",0
"176",1,1,1,335.95,"flankers","CongruentRight","Congruent",0
"177",1,1,1,352.7,"flankers","CongruentRight","Congruent",0
"178",1,1,4,-449.53,"flankers","IncongruentRight","Incongruent",1
"179",1,1,1,325.38,"flankers","CongruentRight","Congruent",0
"180",1,1,1,395.41,"flankers","CongruentRight","Congruent",0
"181",1,1,1,302.81,"flankers","CongruentRight","Congruent",0
"182",1,1,2,343.49,"flankers","CongruentLeft","Congruent",0
"184",1,1,1,345.25,"flankers","CongruentRight","Congruent",0
"185",1,1,2,449.9,"flankers","CongruentLeft","Congruent",0
"186",1,1,1,349.38,"flankers","CongruentRight","Congruent",0
"187",1,1,3,566.17,"flankers","IncongruentLeft","Incongruent",0
"188",1,1,4,346.04,"flankers","IncongruentRight","Incongruent",0
"189",1,1,3,442.69,"flankers","IncongruentLeft","Incongruent",0
"190",1,1,2,432.8,"flankers","CongruentLeft","Congruent",0
"191",1,1,1,340.3,"flankers","CongruentRight","Congruent",0
"192",1,1,4,394.42,"flankers","IncongruentRight","Incongruent",0
"193",1,1,2,325.81,"flankers","CongruentLeft","Congruent",0
"194",1,1,4,331.88,"flankers","IncongruentRight","Incongruent",0
"196",1,1,2,365.73,"flankers","CongruentLeft","Congruent",0
"197",1,1,2,515.76,"flankers","CongruentLeft","Congruent",0
"198",1,1,2,340.86,"flankers","CongruentLeft","Congruent",0
"199",1,1,2,381.54,"flankers","CongruentLeft","Congruent",0
"201",1,1,1,439.31,"flankers","CongruentRight","Congruent",0
"202",1,1,1,320.13,"flankers","CongruentRight","Congruent",0
"203",1,1,4,296.96,"flankers","IncongruentRight","Incongruent",0
"204",1,1,2,351.04,"flankers","CongruentLeft","Congruent",0
"206",1,1,2,361.25,"flankers","CongruentLeft","Congruent",0
"207",1,1,2,324.59,"flankers","CongruentLeft","Congruent",0
"208",1,1,1,314.69,"flankers","CongruentRight","Congruent",0
"209",1,1,3,-438.06,"flankers","IncongruentLeft","Incongruent",1
